,Name,Season,Team,WAR
321,Brian Moehler,1996,DET,15.500000000000002
322,Dean Palmer,1989,TEX,11.199999999999998
323,Jose Paniagua,1996,MON,0.19999999999999996
324,Danny Patterson,1996,TEX,3.9000000000000004
325,Adam Pettyjohn,2001,DET,0.09999999999999998
326,Mark Redman,1999,MIN,14.6
327,Mike Rivera,2001,DET,0.7
328,Fernando Rodney,2002,DET,8.6
329,Oscar Salazar,2002,DET,0.5
330,Julio Santana,1997,TEX,0.09999999999999995
331,Steve Sparks,1995,MIL,10.399999999999999
332,Jamie Walker,1997,KCR,1.0000000000000002
333,Jeff Weaver,1999,DET,24.3
334,Dmitri Young,1996,STL,12.500000000000002
335,Tyson Brummett,2012,PHI,0.0
336,Josh Beckett,2001,FLA,36.6
337,A.J. Burnett,1999,FLA,41.8
338,Luis Castillo,1996,FLA,28.4
339,Ramon Castro,1999,FLA,4.899999999999999
340,Vic Darensbourg,1998,FLA,1.1999999999999997
341,Ryan Dempster,1998,FLA,24.700000000000003
342,Cliff Floyd,1993,MON,24.700000000000003
343,Alex Gonzalez,1998,FLA,9.2
344,Jason Grilli,2000,FLA,6.3
345,Charles Johnson,1994,FLA,25.7
346,Derrek Lee,1997,SDP,34.599999999999994
347,Braden Looper,1998,STL,8.5
348,Mike Lowell,1998,NYY,26.000000000000004
349,Kevin Millar,1998,FLA,8.8
350,Vladimir Nunez,1998,ARI,1.3000000000000003
351,Kevin Olsen,2001,FLA,0.8
352,Brad Penny,2000,FLA,26.8
353,Mike Redmond,1998,FLA,6.1
354,Mark Smith,1994,BAL,0.7000000000000001
355,Julian Tavarez,1993,CLE,10.100000000000001
356,Michael Tejera,1999,FLA,1.1999999999999997
357,Preston Wilson,1998,- - -,9.299999999999999
358,Brad Ausmus,1993,SDP,17.199999999999996
359,Jeff Bagwell,1991,HOU,80.0
360,Lance Berkman,1999,HOU,55.800000000000004
361,Craig Biggio,1988,HOU,65.8
362,Geoff Blum,1999,MON,4.3
